symbol,donchian,atr_mult,atr_p,sharpe,mdd,pnl
5871.TW,10,3.0,20,-0.81,-19.97,-19.97
5871.TW,20,1.5,10,-1.48,-29.08,-28.27
5871.TW,20,1.5,14,-1.48,-29.08,-28.27
5871.TW,20,1.5,20,-1.36,-27.02,-26.18
5871.TW,20,2.0,10,-1.48,-29.08,-28.27
5871.TW,20,2.0,14,-1.48,-29.08,-28.27
5871.TW,20,2.0,20,-1.48,-29.08,-28.27
5871.TW,20,2.5,10,-1.48,-29.08,-28.27
5871.TW,20,2.5,14,-1.48,-29.08,-28.27
5871.TW,20,2.5,20,-1.48,-29.08,-28.27
5871.TW,20,3.0,10,-1.48,-29.08,-28.27
5871.TW,20,3.0,14,-1.48,-29.08,-28.27
5871.TW,20,3.0,20,-1.48,-29.08,-28.27
5871.TW,40,1.5,10,-1.23,-31.54,-27.43
5871.TW,40,1.5,14,-1.23,-31.54,-27.43
5871.TW,40,1.5,20,-1.29,-29.47,-25.23
5871.TW,40,2.0,10,-1.23,-31.54,-27.43
5871.TW,40,2.0,14,-1.23,-31.54,-27.43
5871.TW,40,2.0,20,-1.23,-31.54,-27.43
5871.TW,40,2.5,10,-1.23,-31.54,-27.43
5871.TW,40,2.5,14,-1.23,-31.54,-27.43
5871.TW,40,2.5,20,-1.23,-31.54,-27.43
5871.TW,40,3.0,10,-1.23,-31.54,-27.43
5871.TW,40,3.0,14,-1.23,-31.54,-27.43
5871.TW,40,3.0,20,-1.23,-31.54,-27.43
5871.TW,60,1.5,10,-1.28,-21.22,-20.57
5871.TW,60,1.5,14,-1.28,-21.22,-20.57
5871.TW,60,1.5,20,-1.28,-21.22,-20.57
5871.TW,60,2.0,10,-1.28,-21.22,-20.57
5871.TW,60,2.0,14,-1.28,-21.22,-20.57
5871.TW,60,2.0,20,-1.28,-21.22,-20.57
5871.TW,60,2.5,10,-1.28,-21.22,-20.57
5871.TW,60,2.5,14,-1.28,-21.22,-20.57
5871.TW,60,2.5,20,-1.28,-21.22,-20.57
5871.TW,60,3.0,10,-1.28,-21.22,-20.57
5871.TW,60,3.0,14,-1.28,-21.22,-20.57
5871.TW,60,3.0,20,-1.28,-21.22,-20.57
5871.TW,80,1.5,10,-1.28,-21.22,-20.57
5871.TW,80,1.5,14,-1.28,-21.22,-20.57
5871.TW,80,1.5,20,-1.28,-21.22,-20.57
5871.TW,80,2.0,10,-1.28,-21.22,-20.57
5871.TW,80,2.0,14,-1.28,-21.22,-20.57
5871.TW,80,2.0,20,-1.28,-21.22,-20.57
5871.TW,80,2.5,10,-1.28,-21.22,-20.57
5871.TW,80,2.5,14,-1.28,-21.22,-20.57
5871.TW,80,2.5,20,-1.28,-21.22,-20.57
5871.TW,80,3.0,10,-1.28,-21.22,-20.57
5871.TW,80,3.0,14,-1.28,-21.22,-20.57
5871.TW,80,3.0,20,-1.28,-21.22,-20.57
